Табельный номер,Фамилия И. О.,Пол,Год рождения,Начало работы (год),Подразделение,Должность,Оклад,Количество выполненных проектов
30,Н. В. Комшин,М,1970,1990,Отдел кадров,Экономист,33751,11
31,В. И. Дубанин,М,1986,2006,Аэрометрические системы воздушных сигналов,Начальник отдела,44866,19
32,А. И. Пустинский,М,1992,2012,Проектирование и верификация программно-математического обеспечения,Бухгалтер,39467,7
33,А. С. Таланов,М,1964,1984,Системы автоматизированного управления наземной техникой,Начальник отдела,23721,16
34,Г. В. Вековищеев,М,1967,1987,Информационно-управляющие системы для вертолетов,Инженер-программист,41225,12
35,Н. Ю. Горнецкий,М,1971,1991,Системы автоматизированного управления наземной техникой,Начальник ТКБ,25146,9
36,А. Е. Плюшков,М,1980,2000,Отдел охраны труда,Техник,48723,14
37,Н. А. Радин,М,1987,2007,Радиоэлектронная аппаратура,Инженер-исследователь,53634,16
38,М. Д. Дауров,М,1996,2016,Информационно-управляющие системы для самолетов,Начальник ТКБ,34104,9
39,Г. Т. Подозеров,М,1981,2001,Радиоэлектронная аппаратура,Техник,27910,10
40,С. Р. Одоев,М,1993,2013,Информационно-управляющие системы для вертолетов,Техник,57497,12
41,В. Е. Шестеров,М,1978,1998,Проектирование и верификация программно-математического обеспечения,Бухгалтер,44742,7
42,В. Б. Отменов,М,1973,1993,Информационно-управляющие системы для вертолетов,Инженер-программист,39391,3
43,В. Л. Мякутин,М,1963,1983,Системы автоматизированного управления наземной техникой,Начальник отдела,55804,17
44,К. Л. Проводкин,М,1983,2003,Аэрометрические системы воздушных сигналов,Техник,29775,1
45,Д. Д. Сторожев,М,1964,1984,Радиоэлектронная аппаратура,Инженер,53106,5
46,Э. Л. Мищеников,М,2000,2020,Информационно-управляющие системы для вертолетов,Начальник отдела,24683,2
47,В. Ю. Войков,М,1971,1991,Отдел кадров,Начальник ТКБ,41856,19
48,А. А. Студитский,М,1967,1987,Радиоэлектронная аппаратура,Начальник ТКБ,36852,2
49,Т. Д. Филаретов,М,1974,1994,Радиоэлектронная аппаратура,Инженер-исследователь,52202,6
50,Н. Е. Чусов,М,1983,2003,Радиоэлектронная аппаратура,Бухгалтер,43340,11
51,А. А. Додельцев,М,1970,1990,Отдел охраны труда,Начальник отдела,45778,19
52,В. Ю. Аброшин,М,1991,2011,Отдел охраны труда,Экономист,54040,18
53,В. Т. Бахмурнов,М,1991,2011,Проектирование и верификация программно-математического обеспечения,Инженер,39184,19
54,К. С. Чулин,М,1986,2006,Аэрометрические системы воздушных сигналов,Начальник ТКБ,41253,14
55,А. Г. Кабаенков,М,1975,1995,Отдел кадров,Экономист,32654,3
56,Г. В. Воложанцев,М,1984,2004,Отдел кадров,Инженер-исследователь,43000,6
57,В. О. Аленов,М,1978,1998,Проектирование и верификация программно-математического обеспечения,Начальник отдела,33777,2
58,И. М. Гомоюров,М,1998,2018,Системы автоматизированного управления наземной техникой,Начальник ТКБ,23737,2
59,И. В. Кананухин,М,1998,2018,Информационно-управляющие системы для самолетов,Инженер-исследователь,49869,12
60,А. В. Полисский,М,1964,1984,Системы автоматизированного управления наземной техникой,Инженер,31765,11
61,Я. П. Карузин,М,1992,2012,Системы автоматизированного управления наземной техникой,Начальник ТКБ,54549,19
62,И. И. Шеволдаев,М,1969,1989,Аэрометрические системы воздушных сигналов,Техник,47957,1
63,О. А. Епишин,М,1987,2007,Информационно-управляющие системы для самолетов,Бухгалтер,29448,10
64,С. В. Помазнов,М,1970,1990,Отдел кадров,Экономист,20804,17
65,П. И. Сатрединов,М,1993,2013,Информационно-управляющие системы для самолетов,Экономист,37101,19
66,И. С. Федушин,М,1992,2012,Радиоэлектронная аппаратура,Начальник отдела,52407,6
67,К. Е. Пещерский,М,1977,1997,Информационно-управляющие системы для вертолетов,Экономист,25146,4
68,Т. Т. Кашенцев,М,1966,1986,Отдел охраны труда,Начальник ТКБ,29025,4
69,Н. Л. Ковачев,М,1965,1985,Отдел охраны труда,Начальник отдела,36565,3
70,А. А. Шплатов,М,1984,2004,Радиоэлектронная аппаратура,Техник,45277,6
71,С. П. Авчинников,М,1962,1982,Проектирование и верификация программно-математического обеспечения,Техник,54355,4
72,Д. Г. Пченикин,М,1985,2005,Системы автоматизированного управления наземной техникой,Экономист,22106,1
73,К. Е. Стафоркин,М,1963,1983,Информационно-управляющие системы для самолетов,Техник,20547,19
74,Я. В. Шконов,М,1986,2006,Информационно-управляющие системы для самолетов,Начальник ТКБ,45616,2
75,И. И. Гронский,М,1993,2013,Аэрометрические системы воздушных сигналов,Экономист,27828,19
76,В. Ю. Шулыгин,М,1996,2016,Проектирование и верификация программно-математического обеспечения,Начальник отдела,43497,14
77,П. Д. Шлапаков,М,1966,1986,Информационно-управляющие системы для вертолетов,Техник,34654,10
78,Д. Н. Крехтунов,М,1982,2002,Отдел кадров,Бухгалтер,23329,17
79,В. Ю. Алпатиков,М,1975,1995,Отдел кадров,Техник,45489,10
80,И. П. Бельдюшкин,М,1973,1993,Проектирование и верификация программно-математического обеспечения,Начальник отдела,28111,5
81,С. Е. Хизкияев,М,2001,2021,Проектирование и верификация программно-математического обеспечения,Экономист,26884,20
82,В. В. Лядышев,М,1979,1999,Отдел кадров,Инженер-программист,59550,2
83,Л. В. Посевкин,М,1989,2009,Информационно-управляющие системы для самолетов,Начальник ТКБ,50167,14
84,В. Н. Грашников,М,1976,1996,Информационно-управляющие системы для вертолетов,Инженер-программист,39331,5
85,В. А. Маргузов,М,1999,2019,Отдел охраны труда,Бухгалтер,21748,18
86,Н. Н. Карпеев,М,1961,1981,Системы автоматизированного управления наземной техникой,Инженер-исследователь,20909,16
87,М. А. Верхорубов,М,1972,1992,Отдел кадров,Инженер-исследователь,43619,16
88,М. С. Шонов,М,1998,2018,Информационно-управляющие системы для самолетов,Экономист,34196,4
89,Г. А. Валяйкин,М,1976,1996,Проектирование и верификация программно-математического обеспечения,Техник,44123,9
90,С. Т. Чиров,М,1983,2003,Отдел охраны труда,Техник,23379,13
91,С. А. Гнушев,М,1986,2006,Системы автоматизированного управления наземной техникой,Начальник ТКБ,21428,11
92,Ф. Н. Сахарнов,М,1992,2012,Информационно-управляющие системы для вертолетов,Начальник ТКБ,25624,17
93,Г. В. Карабашев,М,1984,2004,Информационно-управляющие системы для вертолетов,Инженер,47772,17
94,В. Ю. Корюков,М,1976,1996,Радиоэлектронная аппаратура,Начальник отдела,58407,15
95,К. Ю. Симирский,М,1987,2007,Информационно-управляющие системы для самолетов,Техник,27645,10
96,Г. П. Ежлов,М,1992,2012,Информационно-управляющие системы для самолетов,Техник,22070,3
97,И. А. Валадов,М,1984,2004,Проектирование и верификация программно-математического обеспечения,Инженер-программист,41544,1
98,Т. И. Канарев,М,1977,1997,Системы автоматизированного управления наземной техникой,Бухгалтер,53915,8
99,И. М. Санцов,М,1992,2012,Проектирование и верификация программно-математического обеспечения,Экономист,24944,11
100,А. А. Тоскунин,М,1993,2013,Информационно-управляющие системы для самолетов,Инженер,25346,7
101,А. Р. Фонасков,М,1985,2005,Проектирование и верификация программно-математического обеспечения,Экономист,23143,19
102,М. Д. Мянчинский,М,1976,1996,Аэрометрические системы воздушных сигналов,Экономист,54199,18
103,Н. Е. Витовцев,М,1967,1987,Аэрометрические системы воздушных сигналов,Бухгалтер,46510,12
104,И. Л. Субботский,М,1962,1982,Отдел охраны труда,Экономист,24560,9
105,Ю. М. Городицкий,М,1992,2012,Проектирование и верификация программно-математического обеспечения,Инженер-исследователь,41893,19
106,Д. И. Солоненков,М,1977,1997,Информационно-управляющие системы для вертолетов,Экономист,58481,12
107,В. М. Вадневский,М,1993,2013,Проектирование и верификация программно-математического обеспечения,Начальник ТКБ,44334,4
108,В. Н. Енев,М,1968,1988,Системы автоматизированного управления наземной техникой,Инженер-исследователь,42480,14
109,Э. П. Глухушкин,М,1969,1989,Отдел охраны труда,Техник,44054,4
110,А. П. Шелепнев,М,1964,1984,Системы автоматизированного управления наземной техникой,Инженер-программист,24478,20
111,В. Я. Кокогов,М,1985,2005,Отдел охраны труда,Инженер,23388,3
112,И. А. Люлев,М,1988,2008,Информационно-управляющие системы для самолетов,Инженер,44025,17
113,Г. О. Шкинев,М,1995,2015,Информационно-управляющие системы для вертолетов,Начальник ТКБ,29532,16
114,Е. В. Алянчиков,М,2000,2020,Отдел кадров,Инженер,24690,4
115,Ю. А. Черенин,М,1961,1981,Проектирование и верификация программно-математического обеспечения,Инженер,27232,13
116,М. А. Сивокин,М,1966,1986,Системы автоматизированного управления наземной техникой,Бухгалтер,42861,3
117,Ю. И. Самолдин,М,1986,2006,Информационно-управляющие системы для самолетов,Экономист,26022,13
118,А. В. Абумов,М,1963,1983,Проектирование и верификация программно-математического обеспечения,Начальник отдела,49812,1
119,А. А. Кобзенков,М,1977,1997,Информационно-управляющие системы для вертолетов,Техник,36720,17
120,В. С. Щелоков,М,1987,2007,Информационно-управляющие системы для самолетов,Начальник отдела,46411,11
121,А. Д. Павлинов,М,1975,1995,Системы автоматизированного управления наземной техникой,Начальник отдела,51115,6
122,Л. К. Рыков,М,1989,2009,Проектирование и верификация программно-математического обеспечения,Инженер,34781,15
123,Д. Ф. Динаев,М,1988,2008,Отдел кадров,Инженер-исследователь,31632,15
124,О. В. Домонов,М,1976,1996,Радиоэлектронная аппаратура,Инженер,25753,9
125,А. Р. Кишанин,М,1983,2003,Отдел кадров,Инженер-программист,37792,17
126,В. П. Шкарлаков,М,1973,1993,Системы автоматизированного управления наземной техникой,Техник,49948,20
127,П. Т. Забарин,М,1982,2002,Аэрометрические системы воздушных сигналов,Инженер-программист,40884,10
128,Г. В. Дрюков,М,1980,2000,Проектирование и верификация программно-математического обеспечения,Инженер,57645,3
129,Т. Я. Такасков,М,1961,1981,Отдел кадров,Инженер-программист,32429,19
130,А. Т. Загойтов,М,1982,2002,Радиоэлектронная аппаратура,Бухгалтер,37439,20
131,Я. К. Жинжинов,М,1982,2002,Радиоэлектронная аппаратура,Инженер-исследователь,42151,5
132,А. В. Букшин,М,1972,1992,Информационно-управляющие системы для самолетов,Инженер,39863,7
133,Л. А. Трошейкин,М,1996,2016,Отдел кадров,Техник,20395,20
134,Г. О. Лапуцнов,М,1983,2003,Системы автоматизированного управления наземной техникой,Начальник отдела,34460,4
135,А. Н. Толкованов,М,1975,1995,Отдел охраны труда,Инженер-программист,54127,1
136,Б. С. Амонский,М,1991,2011,Отдел кадров,Экономист,31190,13
137,И. В. Жиженков,М,1963,1983,Системы автоматизированного управления наземной техникой,Инженер-программист,45614,1
138,Т. В. Шемяткин,М,1965,1985,Отдел кадров,Инженер-исследователь,26258,1
139,А. А. Рапонов,М,1992,2012,Информационно-управляющие системы для вертолетов,Начальник отдела,29700,15
140,К. П. Зотиков,М,1979,1999,Системы автоматизированного управления наземной техникой,Техник,43486,9
141,Г. П. Гатчинов,М,1983,2003,Информационно-управляющие системы для вертолетов,Экономист,55398,6
142,А. И. Шуньков,М,1990,2010,Системы автоматизированного управления наземной техникой,Инженер-исследователь,43775,17
143,П. М. Цукерников,М,1981,2001,Проектирование и верификация программно-математического обеспечения,Техник,52482,12
144,А. В. Ланевский,М,1977,1997,Информационно-управляющие системы для самолетов,Начальник ТКБ,54613,1
145,В. Д. Бесуков,М,1997,2017,Проектирование и верификация программно-математического обеспечения,Начальник отдела,34863,16
146,Г. П. Нащокин,М,1985,2005,Системы автоматизированного управления наземной техникой,Техник,29066,20
147,Т. А. Геналин,М,1999,2019,Информационно-управляющие системы для вертолетов,Техник,30127,1
148,Б. В. Щетников,М,1973,1993,Отдел охраны труда,Экономист,47882,16
149,А. В. Быданов,М,1989,2009,Отдел охраны труда,Техник,31292,19
150,И. И. Гусарский,М,1977,1997,Аэрометрические системы воздушных сигналов,Инженер-исследователь,42948,16
151,Г. В. Россянский,М,1987,2007,Проектирование и верификация программно-математического обеспечения,Экономист,48682,2
152,Р. А. Озерсков,М,1968,1988,Отдел охраны труда,Начальник ТКБ,55694,2
153,Б. Я. Окочудов,М,1984,2004,Аэрометрические системы воздушных сигналов,Начальник отдела,20744,2
154,Э. Я. Аншпугов,М,1978,1998,Отдел охраны труда,Инженер-программист,28674,14
155,Я. А. Лимаров,М,1989,2009,Проектирование и верификация программно-математического обеспечения,Экономист,29685,19
156,Ф. И. Куприкин,М,1989,2009,Информационно-управляющие системы для самолетов,Начальник ТКБ,46472,14
157,П. В. Процеров,М,1975,1995,Проектирование и верификация программно-математического обеспечения,Инженер-исследователь,51917,13
158,В. П. Шувариков,М,1975,1995,Проектирование и верификация программно-математического обеспечения,Инженер-программист,22497,5
159,А. А. Тапарин,М,1967,1987,Проектирование и верификация программно-математического обеспечения,Экономист,44315,4
160,В. А. Танкуйлин,М,1966,1986,Отдел охраны труда,Бухгалтер,29595,1
161,А. М. Жабровский,М,1993,2013,Проектирование и верификация программно-математического обеспечения,Экономист,44533,17
162,Д. К. Гашаев,М,1997,2017,Радиоэлектронная аппаратура,Инженер-программист,27497,8
163,В. А. Акацков,М,1974,1994,Системы автоматизированного управления наземной техникой,Начальник отдела,50233,6
164,Я. Б. Вальнин,М,1998,2018,Радиоэлектронная аппаратура,Инженер-исследователь,38198,18
165,Р. Н. Аполлонов,М,1988,2008,Отдел охраны труда,Техник,56643,13
166,М. Ю. Филянский,М,1992,2012,Отдел кадров,Начальник ТКБ,33831,6
167,А. А. Белосков,М,1998,2018,Аэрометрические системы воздушных сигналов,Бухгалтер,52245,13
168,С. Л. Сахранов,М,1997,2017,Отдел охраны труда,Инженер,40304,6
169,О. О. Ляпоров,М,1975,1995,Аэрометрические системы воздушных сигналов,Инженер,58293,15
170,А. В. Сарахин,М,1963,1983,Системы автоматизированного управления наземной техникой,Начальник отдела,49563,17
171,С. Л. Молдованов,М,1972,1992,Информационно-управляющие системы для вертолетов,Начальник ТКБ,51412,13
172,С. Н. Захазкин,М,1977,1997,Системы автоматизированного управления наземной техникой,Экономист,49330,10
173,Н. М. Шипачев,М,1988,2008,Проектирование и верификация программно-математического обеспечения,Инженер-исследователь,20717,7
174,П. Д. Мендусов,М,1975,1995,Информационно-управляющие системы для вертолетов,Экономист,49117,1
175,Н. Г. Жгулев,М,1975,1995,Информационно-управляющие системы для самолетов,Техник,23019,9
176,И. А. Верзаков,М,1979,1999,Системы автоматизированного управления наземной техникой,Техник,50917,10
177,В. В. Шернаков,М,1964,1984,Отдел охраны труда,Начальник отдела,50765,2
178,А. Т. Джиганов,М,1976,1996,Системы автоматизированного управления наземной техникой,Инженер-программист,52710,10
179,В. А. Рубицкий,М,1973,1993,Системы автоматизированного управления наземной техникой,Экономист,41185,5
180,И. М. Гельперин,М,1975,1995,Аэрометрические системы воздушных сигналов,Инженер-программист,26890,12
181,А. В. Ржавин,М,1991,2011,Информационно-управляющие системы для вертолетов,Начальник отдела,54264,18
182,С. В. Мавшин,М,1990,2010,Информационно-управляющие системы для самолетов,Бухгалтер,41194,19
183,А. Ю. Скубин,М,1983,2003,Системы автоматизированного управления наземной техникой,Инженер-программист,23572,14
184,М. А. Чупрасов,М,1982,2002,Аэрометрические системы воздушных сигналов,Начальник ТКБ,45801,18
185,И. Т. Бежаев,М,1962,1982,Информационно-управляющие системы для вертолетов,Инженер-программист,27981,15
186,О. В. Куртанов,М,1968,1988,Аэрометрические системы воздушных сигналов,Начальник отдела,56286,3
187,Я. Д. Дакукин,М,1995,2015,Системы автоматизированного управления наземной техникой,Инженер-программист,33440,18
188,А. Р. Серавкин,М,1986,2006,Информационно-управляющие системы для вертолетов,Техник,49363,3
189,Г. В. Шамлицкий,М,1971,1991,Отдел охраны труда,Техник,25511,16
190,Э. В. Апатин,М,1967,1987,Системы автоматизированного управления наземной техникой,Техник,43423,8
191,П. Д. Каймейонов,М,1968,1988,Проектирование и верификация программно-математического обеспечения,Начальник ТКБ,27354,16
192,Э. И. Маджитов,М,1980,2000,Системы автоматизированного управления наземной техникой,Экономист,45333,16
193,И. Д. Прудцов,М,1964,1984,Отдел кадров,Инженер,50869,6
194,А. Л. Таможников,М,1981,2001,Информационно-управляющие системы для вертолетов,Начальник отдела,40877,11
195,И. П. Гойкин,М,1999,2019,Информационно-управляющие системы для самолетов,Бухгалтер,21287,2
196,Я. К. Голюшев,М,1970,1990,Отдел кадров,Начальник ТКБ,37277,9
197,И. Д. Скубаев,М,1988,2008,Отдел охраны труда,Начальник отдела,23812,17
198,Ф. Ф. Ванецов,М,1994,2014,Отдел охраны труда,Техник,57499,18
199,В. А. Эктов,М,1996,2016,Информационно-управляющие системы для самолетов,Инженер-исследователь,55203,7
200,Г. К. Спыткин,М,1997,2017,Отдел охраны труда,Инженер-программист,21403,20
201,А. Д. Бодров,М,1973,1993,Аэрометрические системы воздушных сигналов,Инженер,45541,5
202,О. Г. Шепалин,М,1986,2006,Системы автоматизированного управления наземной техникой,Инженер,50222,14
203,А. В. Бредов,М,1987,2007,Отдел кадров,Начальник ТКБ,33625,4
204,М. И. Альтовский,М,1986,2006,Проектирование и верификация программно-математического обеспечения,Инженер,42727,9
205,В. Ю. Алексевнин,М,1979,1999,Радиоэлектронная аппаратура,Бухгалтер,37327,10
206,А. В. Лопитин,М,1990,2010,Информационно-управляющие системы для самолетов,Инженер-программист,30101,13
207,Г. Д. Рататов,М,1975,1995,Системы автоматизированного управления наземной техникой,Инженер-исследователь,47212,18
208,С. В. Кропанев,М,1975,1995,Системы автоматизированного управления наземной техникой,Экономист,32395,15
209,Я. А. Зелигов,М,1985,2005,Аэрометрические системы воздушных сигналов,Начальник отдела,37588,17
210,К. С. Евсин,М,1986,2006,Отдел кадров,Начальник ТКБ,27569,2
211,В. А. Николашин,М,1964,1984,Информационно-управляющие системы для вертолетов,Инженер-исследователь,55422,1
212,В. Н. Хуракин,М,1962,1982,Отдел кадров,Бухгалтер,21297,8
213,П. М. Абайдулин,М,1967,1987,Информационно-управляющие системы для самолетов,Инженер,53716,12
214,А. Г. Ананников,М,1964,1984,Проектирование и верификация программно-математического обеспечения,Техник,50260,9
215,А. В. Жемарин,М,1996,2016,Системы автоматизированного управления наземной техникой,Инженер-исследователь,52465,19
216,В. В. Мирошкин,М,1980,2000,Отдел охраны труда,Бухгалтер,23513,20
217,А. Д. Арипов,М,1988,2008,Отдел кадров,Экономист,22509,5
218,А. В. Голювинов,М,1989,2009,Информационно-управляющие системы для самолетов,Инженер-программист,54138,12
219,В. В. Хайдаров,М,1987,2007,Отдел охраны труда,Начальник ТКБ,54369,17
220,В. К. Асеенков,М,1975,1995,Аэрометрические системы воздушных сигналов,Начальник ТКБ,37637,3
221,Г. Р. Ульянцев,М,1993,2013,Отдел охраны труда,Начальник отдела,37386,7
222,Г. А. Барышков,М,1971,1991,Проектирование и верификация программно-математического обеспечения,Инженер-программист,52550,11
223,К. В. Кладушкин,М,1997,2017,Отдел кадров,Инженер-исследователь,53661,13
224,А. В. Симоров,М,1977,1997,Проектирование и верификация программно-математического обеспечения,Экономист,55306,9
225,В. К. Кирчевский,М,1964,1984,Отдел кадров,Экономист,37135,10
226,В. С. Маховых,М,1967,1987,Отдел кадров,Инженер,38927,16
227,Н. В. Товашов,М,1968,1988,Отдел охраны труда,Инженер-исследователь,45775,9
228,Т. Д. Рябенков,М,1998,2018,Проектирование и верификация программно-математического обеспечения,Инженер-программист,46984,17
229,А. Ю. Сугробов,М,1998,2018,Аэрометрические системы воздушных сигналов,Инженер-программист,54192,3
230,А. А. Тарганский,М,1974,1994,Аэрометрические системы воздушных сигналов,Начальник отдела,31350,3
231,М. К. Сокульев,М,1993,2013,Системы автоматизированного управления наземной техникой,Экономист,41873,18
232,А. В. Тесемкин,М,1984,2004,Радиоэлектронная аппаратура,Инженер-исследователь,43174,15
233,В. П. Врагов,М,1970,1990,Аэрометрические системы воздушных сигналов,Инженер-исследователь,47833,13
234,К. П. Каграманов,М,1975,1995,Отдел кадров,Инженер,43988,8
235,К. Р. Мирзаев,М,1972,1992,Информационно-управляющие системы для самолетов,Техник,30543,13
236,Л. О. Хруничев,М,2000,2020,Информационно-управляющие системы для самолетов,Экономист,57950,12
237,М. Д. Миличкин,М,1969,1989,Радиоэлектронная аппаратура,Техник,50966,3
238,Г. М. Панюшин,М,1987,2007,Системы автоматизированного управления наземной техникой,Инженер-программист,35527,6
239,А. В. Ховронский,М,1976,1996,Информационно-управляющие системы для вертолетов,Инженер-программист,37470,3
240,А. Н. Шафилулин,М,1965,1985,Радиоэлектронная аппаратура,Бухгалтер,36718,10
241,А. Ф. Трахчев,М,1996,2016,Информационно-управляющие системы для самолетов,Инженер-программист,30410,4
242,В. Ю. Туваев,М,1965,1985,Информационно-управляющие системы для самолетов,Инженер,40641,13
243,В. Л. Камоликов,М,1990,2010,Проектирование и верификация программно-математического обеспечения,Бухгалтер,20377,15
244,А. П. Шувиков,М,1991,2011,Системы автоматизированного управления наземной техникой,Начальник отдела,41043,16
245,К. Г. Посвянский,М,1984,2004,Системы автоматизированного управления наземной техникой,Техник,52829,1
246,А. Т. Скосырев,М,1962,1982,Информационно-управляющие системы для вертолетов,Инженер-программист,28735,3
247,А. А. Данющенков,М,1975,1995,Системы автоматизированного управления наземной техникой,Инженер-исследователь,43427,4
248,О. А. Сурочин,М,1984,2004,Отдел охраны труда,Начальник отдела,59678,5
249,В. В. Аркашов,М,1977,1997,Отдел охраны труда,Техник,47402,15
250,А. В. Ларухин,М,1993,2013,Проектирование и верификация программно-математического обеспечения,Техник,39407,3
251,И. Н. Бруневский,М,1993,2013,Информационно-управляющие системы для вертолетов,Инженер-исследователь,30251,1
252,С. Ю. Дрошнев,М,1965,1985,Отдел охраны труда,Инженер,35836,15
253,В. Д. Дробышев,М,1977,1997,Аэрометрические системы воздушных сигналов,Начальник отдела,55811,17
254,А. Я. Паленых,М,1975,1995,Отдел охраны труда,Инженер-программист,31990,19
255,А. Т. Парнюгин,М,1964,1984,Информационно-управляющие системы для вертолетов,Начальник отдела,47883,20
256,Г. А. Вяткин,М,1966,1986,Проектирование и верификация программно-математического обеспечения,Инженер-программист,29173,1
257,В. Д. Миришанов,М,1982,2002,Радиоэлектронная аппаратура,Экономист,31652,15
258,Т. Т. Жимоленков,М,1984,2004,Отдел охраны труда,Техник,57204,16
259,Р. В. Черкинский,М,1990,2010,Информационно-управляющие системы для вертолетов,Инженер,46649,4
260,В. В. Кадинушкин,М,1980,2000,Отдел охраны труда,Инженер-исследователь,55910,6
261,В. Ю. Зимарин,М,1963,1983,Отдел охраны труда,Начальник отдела,25500,17
262,А. Г. Трусов,М,1980,2000,Информационно-управляющие системы для самолетов,Инженер,37178,3
263,Я. Д. Леонков,М,1977,1997,Отдел охраны труда,Начальник ТКБ,34718,12
264,А. А. Насупкин,М,1961,1981,Информационно-управляющие системы для самолетов,Инженер-программист,42977,11
265,А. С. Ворначев,М,1985,2005,Информационно-управляющие системы для вертолетов,Инженер-программист,26650,1
266,Г. Е. Файбышев,М,1988,2008,Радиоэлектронная аппаратура,Начальник ТКБ,45605,19
267,В. В. Кашеваров,М,1981,2001,Системы автоматизированного управления наземной техникой,Техник,57091,3
268,А. К. Жумыкин,М,1985,2005,Радиоэлектронная аппаратура,Начальник отдела,23185,18
269,А. К. Нотин,М,1978,1998,Информационно-управляющие системы для самолетов,Инженер-программист,53052,8
270,П. Б. Колбасев,М,1973,1993,Системы автоматизированного управления наземной техникой,Инженер-программист,36241,10
271,П. А. Гузачев,М,2001,2021,Информационно-управляющие системы для вертолетов,Начальник ТКБ,34513,12
272,Д. В. Щаднев,М,1976,1996,Проектирование и верификация программно-математического обеспечения,Начальник отдела,39961,7
273,В. Б. Жлюев,М,1966,1986,Информационно-управляющие системы для самолетов,Экономист,25208,14
274,К. В. Распиртов,М,1976,1996,Проектирование и верификация программно-математического обеспечения,Инженер,52626,5
275,В. А. Пищанский,М,1994,2014,Отдел охраны труда,Начальник отдела,50107,2
276,М. Г. Заночкин,М,1972,1992,Аэрометрические системы воздушных сигналов,Начальник ТКБ,37182,18
277,В. Т. Основин,М,1974,1994,Информационно-управляющие системы для вертолетов,Начальник отдела,32291,8
278,М. К. Абрашин,М,1992,2012,Информационно-управляющие системы для вертолетов,Инженер-исследователь,54613,14
279,Г. П. Куртунов,М,1988,2008,Проектирование и верификация программно-математического обеспечения,Инженер-исследователь,57009,16
280,Т. Е. Зусев,М,1993,2013,Отдел охраны труда,Инженер-программист,54281,10
281,П. Ю. Клящицкий,М,1966,1986,Системы автоматизированного управления наземной техникой,Экономист,40461,3
282,Е. Т. Казинкин,М,1995,2015,Проектирование и верификация программно-математического обеспечения,Начальник ТКБ,27396,12
283,Е. А. Зузенков,М,1999,2019,Аэрометрические системы воздушных сигналов,Начальник отдела,25590,1
284,А. П. Благов,М,1963,1983,Отдел охраны труда,Инженер-исследователь,40631,11
